$Csv : ,RUBY-2X

Depth,BH_FLAG,DT,FACIES,GR,LLD,NPHI,RHOB
M,,us/ft,,gAPI,ohm.m,m3/m3,g/cm3
1820.0342,1.0000,114.6722,4.0000,134.7850,0.9680,0.4620,2.0740
1820.1866,1.0000,109.9689,4.0000,134.0140,0.9470,0.4560,2.0860
1820.3390,1.0000,109.7195,4.0000,125.8530,0.9340,0.4700,2.0705
1820.4914,1.0000,108.9192,4.0000,124.5470,0.9930,0.4580,2.0786
1820.6438,1.0000,109.4242,4.0000,132.2150,1.2350,0.4610,2.0866
1820.7962,1.0000,112.2354,4.0000,144.0140,1.3390,0.4670,2.0946
1820.9486,1.0000,113.1468,3.0000,152.7140,1.5480,0.4630,2.1027
1821.1010,1.0000,113.3686,3.0000,153.4200,1.4410,0.4170,2.1107
1821.2534,1.0000,115.9666,3.0000,151.5020,1.2260,0.3930,2.1777
1821.4058,1.0000,119.4255,4.0000,146.7950,1.0340,0.3950,2.2920
1821.5582,1.0000,119.5576,4.0000,143.8590,1.0020,0.4150,2.2730
1821.7106,1.0000,117.1657,4.0000,140.1680,0.9370,0.4190,2.2150
1821.8630,1.0000,115.0611,4.0000,137.5860,0.9150,0.4160,2.1730
1822.0154,1.0000,112.3950,4.0000,134.9990,0.8710,0.4110,2.1770
1822.1678,1.0000,107.8403,4.0000,131.8540,0.9220,0.4260,2.2130
1822.3202,1.0000,100.8664,4.0000,130.4370,1.0060,0.4330,2.2220
1822.4726,1.0000,96.2586,4.0000,132.2250,1.1740,0.4250,2.1630
1822.6250,1.0000,93.6718,4.0000,137.2970,1.3190,0.3940,2.0900
1822.7774,1.0000,90.8371,4.0000,142.3470,1.6080,0.3580,2.0860
1822.9298,1.0000,89.5991,4.0000,148.8060,1.9160,0.3400,2.1590
1823.0822,1.0000,91.0864,4.0000,155.5050,2.0510,0.3330,2.2520
1823.2346,0.0000,91.5196,4.0000,161.5110,2.3220,0.3250,2.3190
1823.3870,0.0000,93.3709,4.0000,158.8080,2.4570,0.3020,2.4020
1823.5394,0.0000,90.7130,4.0000,141.5370,2.7280,0.2780,2.4680
1823.6918,0.0000,87.4194,4.0000,115.7790,2.8660,0.2570,2.4760
1823.8442,0.0000,87.2969,3.0000,92.5150,2.9200,0.2330,2.4430
1823.9966,0.0000,88.3605,3.0000,79.1250,3.0290,0.2020,2.4000
1824.1490,0.0000,86.4875,2.0000,74.2050,3.1150,0.1760,2.3720
1824.3014,0.0000,82.7378,2.0000,70.3910,3.2880,0.1630,2.3630
1824.4538,0.0000,82.4699,2.0000,67.6290,3.6140,0.1640,2.3680
