$Csv : ,RUBY-4X

Depth,BH_FLAG,DT,FACIES,GR,LLD,NPHI,RHOB
M,,us/ft,,gAPI,ohm.m,m3/m3,g/cm3
1811.5788,0.0000,101.7866,4.0000,100.2850,2.1987,0.3388,2.3126
1811.7312,0.0000,103.8818,4.0000,99.2500,2.1203,0.3412,2.2586
1811.8836,0.0000,106.3690,4.0000,97.3860,2.0480,0.3599,2.2045
1812.0360,0.0000,108.9730,4.0000,96.2930,1.9569,0.4094,2.1595
1812.1884,0.0000,110.6375,4.0000,94.9060,1.8376,0.4246,2.1144
1812.3408,0.0000,111.8268,4.0000,92.6590,1.7073,0.4276,2.1565
1812.4932,0.0000,111.7891,4.0000,89.8500,1.6906,0.4096,2.1985
1812.6456,0.0000,110.1975,4.0000,85.4020,1.8967,0.3689,2.2405
1812.7980,0.0000,107.7731,4.0000,82.2320,2.2109,0.3659,2.3126
1812.9504,0.0000,104.5168,4.0000,83.6780,2.4593,0.3612,2.2676
1813.1028,0.0000,100.3773,4.0000,85.9970,2.5212,0.3485,2.2225
1813.2552,0.0000,97.2452,4.0000,82.9250,2.4433,0.3072,2.2153
1813.4076,0.0000,94.9788,3.0000,70.9480,2.3161,0.2439,2.2081
1813.5600,0.0000,93.0073,2.0000,54.2130,2.1643,0.2169,2.2009
1813.7124,0.0000,91.1148,2.0000,42.8220,1.9912,0.2210,2.1937
1813.8648,0.0000,90.0171,1.0000,38.3390,1.8148,0.2260,2.1865
1814.0172,0.0000,89.8780,1.0000,37.3290,1.7009,0.2297,2.1835
1814.1696,0.0000,89.8056,1.0000,38.8410,1.6773,0.2353,2.1805
1814.3220,0.0000,89.8478,1.0000,39.3710,1.6962,0.2403,2.1775
1814.4744,0.0000,90.2096,1.0000,38.7060,1.7137,0.2420,2.1745
1814.6268,0.0000,90.7092,1.0000,39.5020,1.7173,0.2433,2.1715
1814.7792,0.0000,90.6554,1.0000,39.8740,1.7120,0.2403,2.1685
1814.9316,0.0000,89.7968,1.0000,39.0530,1.7449,0.2276,2.1685
1815.0840,0.0000,89.2154,1.0000,38.9440,1.8761,0.2113,2.1685
1815.2364,0.0000,89.0811,1.0000,38.7690,2.0947,0.2207,2.1685
1815.3888,0.0000,90.4526,1.0000,40.4240,2.3283,0.2340,2.1685
1815.5412,0.0000,92.2722,2.0000,45.0100,2.4878,0.2497,2.1985
1815.6936,0.0000,94.6755,2.0000,51.5070,2.5494,0.2713,2.2285
1815.8460,0.0000,97.2852,3.0000,58.8220,2.5700,0.2923,2.2586
1815.9984,0.0000,101.2203,3.0000,65.4790,2.4971,0.3257,2.2586
1816.1508,0.0000,109.0485,4.0000,72.4580,2.2588,0.3680,2.2586
1816.3032,0.0000,114.6435,4.0000,76.8670,1.9438,0.4037,2.2586
1816.4556,0.0000,119.9013,4.0000,80.1370,1.6784,0.4403,2.1144
1816.6080,0.0000,122.8306,4.0000,84.1020,1.5588,0.4430,2.1685
1816.7604,0.0000,124.8988,4.0000,85.6230,1.5437,0.4430,2.1794
1816.9128,0.0000,124.8941,4.0000,85.6230,1.5656,0.4380,2.1986
1817.0652,1.0000,122.5308,4.0000,85.7280,1.6299,0.4183,2.2104
1817.2176,1.0000,117.4599,4.0000,86.8780,1.7418,0.3746,2.2117
1817.3700,1.0000,112.4088,4.0000,86.9160,1.8648,0.3247,2.2099
