$Csv : ,RUBY-3X

Depth,BH_FLAG,DT,FACIES,GR,LLD,NPHI,RHOB
M,,us/ft,,gAPI,ohm.m,m3/m3,g/cm3
1762.0745,0.0000,105.4313,3.0000,97.9005,2.4566,0.2631,2.1929
1762.2244,0.0000,103.8753,4.0000,108.3521,2.2980,0.2622,2.2167
1762.3743,0.0000,101.4802,4.0000,118.4480,2.3029,0.2732,2.2376
1762.5242,0.0000,98.9448,4.0000,124.2353,2.4431,0.2811,2.2585
1762.6741,0.0000,96.7090,4.0000,126.1622,2.7320,0.2806,2.2921
1762.8240,0.0000,95.4562,4.0000,131.3981,2.8477,0.2776,2.3330
1762.9739,0.0000,94.8712,4.0000,140.9073,2.8833,0.2756,2.3566
1763.1238,0.0000,94.5100,4.0000,143.2806,2.8946,0.2750,2.3614
1763.2737,0.0000,93.9942,4.0000,141.4811,2.9064,0.2754,2.3625
1763.4236,0.0000,93.4197,4.0000,135.9461,3.0254,0.2714,2.3630
1763.5735,0.0000,93.8589,4.0000,129.7107,3.0949,0.2625,2.3527
1763.7234,0.0000,94.9595,4.0000,123.5460,3.1393,0.2569,2.3424
1763.8733,0.0000,95.1531,4.0000,121.7912,3.1173,0.2598,2.3377
1764.0232,0.0000,95.7303,4.0000,123.9025,3.0197,0.2643,2.3191
1764.1731,0.0000,97.0534,4.0000,120.4701,2.8132,0.2666,2.2863
1764.3230,0.0000,100.2632,4.0000,114.7418,2.7126,0.2605,2.2586
1764.4729,0.0000,102.0330,4.0000,115.4416,2.6608,0.2571,2.2511
1764.6228,0.0000,101.3164,4.0000,118.1764,2.6062,0.2661,2.2428
1764.7727,0.0000,100.4700,4.0000,122.1005,2.5139,0.2824,2.2291
1764.9226,0.0000,100.6830,4.0000,123.4146,2.3778,0.2981,2.2643
1765.0725,0.0000,101.0746,4.0000,127.5431,2.2755,0.3181,2.3330
1765.2224,0.0000,100.7579,4.0000,132.2877,2.1877,0.3436,2.3559
1765.3723,0.0000,100.5606,4.0000,134.3225,2.1309,0.3647,2.3519
1765.5222,0.0000,101.0021,4.0000,133.3759,2.0741,0.3657,2.3472
1765.6721,0.0000,101.8119,4.0000,130.3514,2.0095,0.3613,2.3373
1765.8220,0.0000,102.4818,4.0000,129.6143,1.9837,0.3761,2.3229
1765.9719,0.0000,103.2859,4.0000,129.9815,1.9842,0.4134,2.3173
1766.1218,0.0000,103.0620,4.0000,128.6879,1.9841,0.4453,2.3314
1766.2717,0.0000,101.6050,4.0000,127.4169,1.9888,0.4445,2.3548
1766.4216,0.0000,100.3942,4.0000,127.5648,1.9969,0.4185,2.3702
1766.5715,0.0000,100.2474,4.0000,126.6453,1.9711,0.3976,2.3730
1766.7214,0.0000,101.8197,4.0000,126.6047,1.9101,0.3921,2.3706
1766.8713,0.0000,105.5029,4.0000,128.3594,1.8300,0.3897,2.3683
1767.0212,0.0000,109.1654,4.0000,129.3797,1.7040,0.3805,2.3658
1767.1711,0.0000,111.0701,4.0000,127.9602,1.5399,0.3715,2.3591
1767.3210,0.0000,112.3499,4.0000,123.9770,1.3670,0.3786,2.3463
1767.4709,0.0000,113.9383,4.0000,120.1188,1.2259,0.4012,2.3329
1767.6208,0.0000,114.8340,4.0000,120.8145,1.1748,0.4192,2.3262
1767.7707,0.0000,113.7123,4.0000,124.0041,1.2234,0.4152,2.3304
1767.9206,0.0000,110.8151,4.0000,126.2249,1.3168,0.3982,2.3420
1768.0705,0.0000,108.1319,4.0000,129.1345,1.4070,0.3882,2.3530
1768.2204,0.0000,107.9162,4.0000,130.2969,1.4574,0.3853,2.3575
1768.3703,0.0000,110.3782,4.0000,127.7251,1.4244,0.3800,2.3548
1768.5202,1.0000,113.8247,4.0000,126.9451,1.3033,0.3736,2.3499
1768.6701,1.0000,116.9400,4.0000,135.1722,1.1621,0.3739,2.3480
1768.8200,1.0000,119.2546,4.0000,150.9923,1.0573,0.3836,2.3494
1768.9699,1.0000,120.6014,4.0000,159.8573,0.9868,0.3928,2.3535
1769.1198,1.0000,121.0254,4.0000,153.3061,0.9497,0.3968,2.3549
1769.2697,1.0000,120.5104,4.0000,139.4652,0.9633,0.4061,2.3469
1769.4196,1.0000,119.3461,4.0000,127.8671,1.0496,0.4265,2.3320
1769.5695,1.0000,118.0965,4.0000,122.6460,1.1978,0.4499,2.3185
1769.7194,1.0000,116.3282,4.0000,124.9066,1.3746,0.4638,2.3146
1769.8693,1.0000,113.2987,4.0000,129.5585,1.5004,0.4607,2.3218
1770.0192,1.0000,109.3482,4.0000,130.4914,1.6206,0.4423,2.3332
1770.1691,1.0000,105.9508,4.0000,124.8707,1.7598,0.4198,2.3501
1770.3190,1.0000,103.6483,4.0000,117.2858,1.8105,0.4033,2.3715
1770.4689,0.0000,102.2127,4.0000,113.4940,1.7889,0.3968,2.3819
1770.6188,0.0000,102.1362,4.0000,111.6385,1.7260,0.3964,2.3741
1770.7687,0.0000,103.6450,4.0000,115.3893,1.6561,0.3950,2.3576
1770.9186,0.0000,105.9573,4.0000,121.6444,1.7205,0.3875,2.3461
1771.0685,0.0000,107.7532,4.0000,121.8367,1.8410,0.3739,2.3484
1771.2184,0.0000,108.2795,4.0000,117.9693,1.9866,0.3606,2.3606
1771.3683,0.0000,106.9759,4.0000,118.6630,2.0379,0.3590,2.3688
1771.5182,0.0000,104.8031,4.0000,119.4973,2.0280,0.3734,2.3676
1771.6681,0.0000,103.1941,4.0000,115.7464,1.9751,0.3933,2.3570
1771.8180,0.0000,102.4038,3.0000,106.5197,1.9610,0.4158,2.3310
1771.9679,0.0000,101.7891,3.0000,103.6605,1.9744,0.4118,2.2778
1772.1178,0.0000,100.2800,2.0000,104.9173,1.9695,0.3693,2.1965
1772.2677,0.0000,99.2518,2.0000,106.8366,1.9561,0.3153,2.1997
1772.4176,0.0000,98.8759,3.0000,114.3002,2.0118,0.2924,2.2461
1772.5675,0.0000,98.8745,3.0000,117.7694,2.1632,0.2916,2.2787
1772.7174,0.0000,98.7706,3.0000,119.4258,2.4249,0.2967,2.3023
1772.8673,0.0000,96.2646,4.0000,121.8545,2.5269,0.3079,2.3196
1773.0172,0.0000,93.3716,4.0000,121.0973,2.5597,0.3198,2.3221
1773.1671,0.0000,92.9510,4.0000,122.2772,2.5482,0.3140,2.3388
1773.3170,0.0000,92.8335,4.0000,126.5436,2.5584,0.2967,2.3674
1773.4669,0.0000,92.1261,4.0000,136.4252,2.5894,0.2849,2.3835
1773.6168,0.0000,91.8448,4.0000,143.5418,2.5728,0.2883,2.3875
1773.7667,0.0000,92.4627,4.0000,143.0703,2.4908,0.2989,2.3948
1773.9166,0.0000,93.7888,4.0000,141.1023,2.3155,0.3053,2.4046
1774.0665,0.0000,96.6559,4.0000,141.8332,2.1221,0.3055,2.4040
1774.2164,0.0000,101.4187,4.0000,142.4846,1.8849,0.3230,2.3839
1774.3663,0.0000,107.1284,4.0000,140.7453,1.6397,0.3730,2.3467
1774.5162,0.0000,112.4030,4.0000,135.4538,1.3542,0.4253,2.3138
1774.6661,0.0000,116.0607,4.0000,131.4875,1.1514,0.4575,2.2994
1774.8160,1.0000,117.4370,4.0000,127.7185,1.0942,0.4598,2.3045
1774.9659,0.0000,116.4080,4.0000,125.1026,1.1256,0.4375,2.3194
1775.1158,0.0000,113.9571,4.0000,121.8075,1.2447,0.4111,2.3361
1775.2657,0.0000,111.2606,4.0000,121.3504,1.4595,0.3939,2.3467
1775.4156,0.0000,108.2033,4.0000,126.0721,1.7007,0.3730,2.3424
1775.5655,0.0000,104.8076,4.0000,127.3588,1.9249,0.3459,2.3280
1775.7154,0.0000,101.7059,4.0000,123.5346,2.1184,0.3244,2.3213
1775.8653,0.0000,99.2346,4.0000,122.4020,2.2071,0.3139,2.3245
1776.0152,0.0000,97.7619,4.0000,124.7566,2.1866,0.3109,2.3367
1776.1651,0.0000,97.7828,4.0000,126.3646,2.0579,0.3123,2.3503
1776.3150,0.0000,98.8204,4.0000,124.1847,1.7714,0.3178,2.3629
1776.4649,0.0000,99.7262,4.0000,120.1148,1.4233,0.3301,2.3714
1776.6148,0.0000,101.5268,4.0000,119.0208,1.1837,0.3513,2.3699
1776.7647,0.0000,105.7720,4.0000,120.9560,1.0606,0.3773,2.3596
1776.9146,0.0000,110.7582,4.0000,120.8425,1.0409,0.4015,2.3399
1777.0645,0.0000,114.4002,4.0000,117.6123,1.1726,0.4216,2.3121
1777.2144,0.0000,117.0567,4.0000,116.7935,1.3825,0.4343,2.2909
1777.3643,0.0000,118.9236,4.0000,117.7237,1.5549,0.4297,2.2928
1777.5142,0.0000,118.5368,4.0000,117.6851,1.6779,0.4081,2.3164
1777.6641,0.0000,115.6667,4.0000,119.2531,1.7775,0.3886,2.3467
1777.8140,0.0000,111.6319,4.0000,118.7364,1.8940,0.3829,2.3685
