$Csv : ,RUBY-1X

Depth,BH_FLAG,DT,FACIES,GR,LLD,NPHI,RHOB
M,,us/ft,,gAPI,ohm.m,m3/m3,g/cm3
2020.0037,0.0000,83.8990,2.0000,52.4816,2.2845,0.2072,2.3234
2020.1536,1.0000,84.4093,2.0000,55.2187,2.3143,0.2108,2.3208
2020.3035,1.0000,84.3852,3.0000,58.4459,2.3775,0.2198,2.3304
2020.4534,1.0000,83.9733,3.0000,62.0979,2.4356,0.2329,2.3607
2020.6033,1.0000,83.6936,3.0000,65.4367,2.5441,0.2480,2.4053
2020.7532,1.0000,83.6301,3.0000,67.3628,2.5802,0.2642,2.4433
2020.9031,1.0000,83.8583,3.0000,66.6979,2.6285,0.2789,2.4574
2021.0530,1.0000,84.5375,3.0000,66.3060,2.5485,0.2908,2.4509
2021.2029,1.0000,85.6471,3.0000,72.2311,2.3687,0.3038,2.4342
2021.3528,1.0000,86.9111,4.0000,80.9518,2.3071,0.3193,2.4198
2021.5027,1.0000,88.0791,4.0000,87.6750,2.2211,0.3307,2.4178
2021.6526,1.0000,88.9550,4.0000,91.2194,2.1888,0.3299,2.4221
2021.8025,1.0000,89.2991,4.0000,92.0736,2.1416,0.3187,2.4192
2021.9524,1.0000,89.3812,4.0000,91.6691,2.0730,0.3085,2.4038
2022.1023,1.0000,89.7485,3.0000,91.2356,1.9391,0.3052,2.3773
2022.2522,1.0000,90.4548,3.0000,91.0248,1.8884,0.3035,2.3437
2022.4021,1.0000,91.1721,3.0000,89.9630,1.8136,0.2975,2.3094
2022.5520,1.0000,91.5540,3.0000,86.5868,1.8620,0.2894,2.2831
2022.7019,1.0000,91.4143,3.0000,80.8922,1.9812,0.2820,2.2715
2022.8518,1.0000,90.8119,2.0000,75.1769,2.0279,0.2738,2.2754
2023.0017,1.0000,89.9667,2.0000,71.8982,2.0969,0.2627,2.2880
2023.1516,1.0000,89.2845,2.0000,71.2194,2.0730,0.2509,2.3007
